INSTANCE_ID,ebglucose_solved,nvarsOrig,nclausesOrig,nvars,nclauses,reducedVars,reducedClauses,Pre_featuretime,vars_clauses_ratio,POSNEG_RATIO_CLAUSE_mean,POSNEG_RATIO_CLAUSE_coeff_variation,POSNEG_RATIO_CLAUSE_min,POSNEG_RATIO_CLAUSE_max,POSNEG_RATIO_CLAUSE_entropy,VCG_CLAUSE_mean,VCG_CLAUSE_coeff_variation,VCG_CLAUSE_min,VCG_CLAUSE_max,VCG_CLAUSE_entropy,UNARY,BINARYp,TRINARYp,Basic_featuretime,VCG_VAR_mean,VCG_VAR_coeff_variation,VCG_VAR_min,VCG_VAR_max,VCG_VAR_entropy,POSNEG_RATIO_VAR_mean,POSNEG_RATIO_VAR_stdev,POSNEG_RATIO_VAR_min,POSNEG_RATIO_VAR_max,POSNEG_RATIO_VAR_entropy,HORNY_VAR_mean,HORNY_VAR_coeff_variation,HORNY_VAR_min,HORNY_VAR_max,HORNY_VAR_entropy,horn_clauses_fraction,VG_mean,VG_coeff_variation,VG_min,VG_max,KLB_featuretime,CG_mean,CG_coeff_variation,CG_min,CG_max,CG_entropy,cluster_coeff_mean,cluster_coeff_coeff_variation,cluster_coeff_min,cluster_coeff_max,cluster_coeff_entropy,CG_featuretime,DIAMETER_mean,DIAMETER_coeff_variation,DIAMETER_min,DIAMETER_max,DIAMETER_entropy,DIAMETER_featuretime,cl_num_mean,cl_num_coeff_variation,cl_num_min,cl_num_max,cl_num_q90,cl_num_q10,cl_num_q75,cl_num_q25,cl_num_q50,cl_size_mean,cl_size_coeff_variation,cl_size_min,cl_size_max,cl_size_q90,cl_size_q10,cl_size_q75,cl_size_q25,cl_size_q50,cl_featuretime,SP_bias_mean,SP_bias_coeff_variation,SP_bias_min,SP_bias_max,SP_bias_q90,SP_bias_q10,SP_bias_q75,SP_bias_q25,SP_bias_q50,SP_unconstraint_mean,SP_unconstraint_coeff_variation,SP_unconstraint_min,SP_unconstraint_max,SP_unconstraint_q90,SP_unconstraint_q10,SP_unconstraint_q75,SP_unconstraint_q25,SP_unconstraint_q50,sp_featuretime,saps_BestSolution_Mean,saps_BestSolution_CoeffVariance,saps_FirstLocalMinStep_Mean,saps_FirstLocalMinStep_CoeffVariance,saps_FirstLocalMinStep_Median,saps_FirstLocalMinStep_Q10,saps_FirstLocalMinStep_Q90,saps_BestAvgImprovement_Mean,saps_BestAvgImprovement_CoeffVariance,saps_FirstLocalMinRatio_Mean,saps_FirstLocalMinRatio_CoeffVariance,ls_saps_featuretime,gsat_BestSolution_Mean,gsat_BestSolution_CoeffVariance,gsat_FirstLocalMinStep_Mean,gsat_FirstLocalMinStep_CoeffVariance,gsat_FirstLocalMinStep_Median,gsat_FirstLocalMinStep_Q10,gsat_FirstLocalMinStep_Q90,gsat_BestAvgImprovement_Mean,gsat_BestAvgImprovement_CoeffVariance,gsat_FirstLocalMinRatio_Mean,gsat_FirstLocalMinRatio_CoeffVariance,ls_gsat_featuretime,lobjois_mean_depth_over_vars,lobjois_log_num_nodes_over_vars,lobjois_featuretime
4,2,135543,404326,14948,103664,8.067634466,2.900351134,2.53,0.144196635,0.396412584,0.589529373,0,1,1.550227761,0.000250448,0.545073204,0.000133797,0.004348408,1.199141028,0,0.074095154,0.543004322,0.02,0.000250448,1.27297278,6.75E-05,0.002102948,2.698823319,0.060946608,0.105230286,0,0.940298507,1.647435524,7.90E-05,1.007815212,1.93E-05,0.000781371,1.908180698,0.397158126,0.000164866,1.270334001,3.86E-05,0.001311931,0.57,-1,0,-1,0,-512,-1,0,-1,0,0,20.01,20.30578512,0.16218579,15,26,2.472230137,2.01,924,0.29945583,164,1298,1221,719,1102,878,925,34.40824358,0.41706953,11.76219512,57.38337182,55.82463929,19.20108108,50.62987013,23.45688073,31.16424682,2,0.196688998,1.343674237,1.80E-06,0.984453871,0.708106421,0.006828458,0.224892255,0.019790151,0.063204556,0.036983205,0.701350612,0,0.255588857,0.083982095,0.015086096,0.040258947,0.021534464,0.032634572,1.67,812.857,0.0500902,3357.43,0.00531098,3349,3339,3378,0.72867,0.173288,0.86006,0.00784264,2.13,1089.47,0.110127,3369.88,0.011155,3367,3320,3409,0.378638,0.783526,0.88815,0.0158446,2.35,0.073134469,0.664492101,2
5,0,249327,746444,76979,397738,2.238896322,0.876722868,7.93,0.19354198,0.495854389,0.719227152,0,1,1.476989369,4.45E-05,0.879236637,2.60E-05,0.003325582,1.385115099,0,0.282872142,0.778801623,0.06,4.45E-05,2.505437385,1.76E-05,0.001780066,2.28662329,0.161938033,0.18718878,0,0.976923077,2.293486481,1.73E-05,1.89642622,2.51E-06,0.000895062,1.975472102,0.536156968,3.97E-05,2.874620368,1.26E-05,0.001915834,14.35,-1,0,-1,0,-512,-1,0,-1,0,0,20.03,6.489361702,0.077031739,6,7,0.692920817,2.04,391,0,391,391,391,391,391,391,391,42.1483376,0,42.1483376,42.1483376,42.1483376,42.1483376,42.1483376,42.1483376,42.1483376,1.99,0.32065832,0.713369146,6.48E-06,1,0.534444275,0.017172837,0.520190909,0.146586224,0.314912906,0.060930732,0.75291861,0,0.453049721,0.132583529,0.022554494,0.100375214,0.023426895,0.033937344,3.33,19681,0,0,0,0,0,0,3.30835,0,1.55103,0,2.37,9569.5,0.749927,9985.5,1.41421,9985.5,0,0,1.56198,0.895778,1.1353,0.299875,2.37,0.167450641,0.519461703,2.02
6,2,4271,12620,1448,6879,1.949585635,0.834568978,0.08,0.210495712,0.502177986,0.727453629,0,1,1.592272842,0.002294195,0.495145026,0.001381215,0.013812155,1.441752865,0,0.298299171,0.763773804,0.01,0.002294195,0.774346162,0.00101759,0.013374037,2.766104193,0.173779339,0.182569355,0,0.739130435,2.881216105,0.000958458,0.683976116,0.00029074,0.006977758,2.343502102,0.549789214,0.002069113,0.976059509,0.00072685,0.015118477,0.01,0.005003905,0.78800259,0.00072685,0.058729466,4.168343245,0.155997462,0.705541368,0.007798558,0.621212121,3.371366822,0.46,6.769868694,0.086688165,5,8,0.885656168,0.43,1746.666667,0.072330007,1584,1892,1892,1584,1892,1584,1764,35.00145059,0.152714656,28.22222222,41.28741497,41.28741497,28.22222222,41.28741497,28.22222222,35.49471459,0.4,0.334863717,0.658490259,0.002772207,0.9995006,0.626953972,0.03682823,0.497751771,0.146402036,0.311365767,0.058342524,0.889379056,1.00E-09,0.374777924,0.133259017,0.014419411,0.091746349,0.022449778,0.034015939,0.11,43.5601,0.318303,361.714,0.0362187,361,345,379,0.815724,0.220534,0.857205,0.0220859,2.18,79.919,0.10222,360.316,0.0376976,360,343,378,0.67029,0.282265,0.891862,0.0150847,2.39,0.320033761,0.991900805,2
7,0,153834,459965,13881,179278,10.08234277,1.565652227,8.77,0.077427236,0.650563482,0.502150863,0,1,2.000102837,0.000322859,1.166497966,0.000144082,0.018514516,1.819030195,0,0.371880543,0.489909526,0.03,0.000322859,1.997399601,3.90E-05,0.00390455,2.743009802,0.147008912,0.255322562,0,0.969465649,1.971929807,6.63E-05,2.036056664,5.58E-06,0.001433528,2.296203203,0.429812916,0.000339035,1.487131423,2.79E-05,0.002872634,0.55,-1,0,-1,0,-512,-1,0,-1,0,0,20.05,6.347222222,0.075007162,6,7,0.645710106,2.01,223.375,0.560244077,32,511,393,40,311,141,243,19.98911393,0.620536765,4.459459459,53.54662379,34.35449735,4.825,28.27659575,9.592875318,18.8683274,2.01,0.711120242,0.329983391,0.000297708,1,0.861963505,0.26316103,0.832213195,0.694470269,0.819935871,0.066897178,0.732769832,0,0.459245406,0.103754235,0.000252239,0.102106251,0.009293248,0.09015611,2.81,608.75,1.6932,4440.88,0.404205,5074,0,5100,2.50105,0.784952,1.00023,0.0671686,2.21,1132.68,3.44986,4897.43,0.196294,5063,5011,5131,1.10589,0.298765,0.94842,0.19599,2.34,0.139438963,0.308762619,2
8,0,4656,13871,2564,10390,0.815912637,0.335033686,0.05,0.246775746,0.364876484,0.848012241,0,1,1.212571507,0.001096098,0.294108465,0.000780031,0.007800312,0.999826481,0,0.339942252,0.868912416,0,0.001096098,0.504208429,0.000769971,0.009913378,1.864102948,0.092659421,0.073269791,0,0.636363636,1.881541939,0.000484986,0.759070624,9.62E-05,0.003849856,1.682708655,0.52560154,0.000812689,0.584780556,0.000481232,0.007892204,0.01,0.001589557,0.761686895,0.000577478,0.011164581,3.076575035,0.164226359,0.44533854,0.017388742,0.615384615,3.011390702,0.15,7.962543894,0.073939952,6,9,0.874008891,1.05,404.2413793,0.322424036,250,713,625,276,497,305,362,39.2045033,0.225200154,24.42966752,66.83520599,49.23668639,26.93637847,44.84229391,33.4192,39.932,2,0.184506375,0.783528017,0,0.783433488,0.390883714,0.049165241,0.32093549,0.079441386,0.106185377,0.034564181,0.740542707,0,0.279169293,0.04882485,0.011409103,0.047764593,0.020842607,0.025255535,0.09,132.61,0.204262,527.493,0.0283388,527,509,547,0.759865,0.269257,0.844993,0.0214047,2.16,136.323,0.104294,529.601,0.0316545,530,508,550,0.309719,0.367122,0.848089,0.0143305,2.51,0.186389178,0.556537083,2
9,0,92464,276623,24904,136416,2.712817218,1.027789995,1.97,0.182559231,0.480206654,0.736859404,0,1,1.61076348,0.000139822,0.766352234,8.03E-05,0.002610022,1.490891462,0,0.296372859,0.746430038,0.03,0.000139822,1.800383491,5.13E-05,0.002624326,2.420095891,0.149016326,0.183369036,0,0.882352941,2.317168597,4.89E-05,1.35960297,7.33E-06,0.001114239,2.060640406,0.498079404,0.000123511,1.987761582,3.67E-05,0.002917546,1.54,-1,0,-1,0,-512,-1,0,-1,0,0,20.01,6.733944954,0.065621769,6,7,0.579295498,2.01,421,0.203291602,293,568,559,294,460,367,422,10.27608875,0.486855192,4.700581395,25.52122642,12.99229287,5.755319149,11.20950704,6.843003413,9.683923706,2,0.324950309,0.716803558,1.20E-08,1,0.547975341,0.02126118,0.487678748,0.127602383,0.313466178,0.053521377,0.825773819,0,0.420844421,0.11540985,0.01985342,0.089718049,0.022977683,0.032104503,2.45,2068.67,0.996007,4163.33,0.866052,6217,0,6217,1.39262,0.82946,1.01572,0.257825,2.15,1704.36,0.485482,5763.82,0.331838,6320,6241,6396,0.49659,1.46947,0.932208,0.127958,2.27,0.18496785,0.599572251,2
10,0,200440,599015,72795,340394,1.753485816,0.759769561,5.05,0.213855121,0.440043592,0.774183118,0,1,1.39466174,4.56E-05,1.020313511,2.75E-05,0.001785837,1.216102382,0,0.264475872,0.827432328,0.05,4.56E-05,2.390613992,2.06E-05,0.002074067,2.095739057,0.164122861,0.181569719,0,0.848275862,2.261469585,1.78E-05,1.688455468,0,0.000857829,1.760744345,0.519192465,3.95E-05,3.091279182,1.47E-05,0.002238582,13.19,-1,0,-1,0,-512,-1,0,-1,0,0,20.02,6.75862069,0.074286836,5,7,0.60303526,2.01,164.2,1.37869335,9,610,610,9,109,10,83,7.755987874,1.203082052,3,26.41639344,26.41639344,3,3.339449541,3,3.024096386,2.01,0.293001067,0.71366809,0,0.933765309,0.532913472,0.004665157,0.525223885,0.146483044,0.255862923,0.061083041,0.771992241,0,0.458905254,0.132652234,0.023292326,0.097568783,0.024841614,0.030532085,3.02,22476,0,0,0,0,0,0,3.30197,0,1.89212,0,2.3,12718,0,0,0,0,0,0,2.30331,0,1.36274,0,2.32,0.191955835,0.735279594,2
11,0,51064,152039,18463,86170,1.765747712,0.764407566,0.93,0.214262504,0.442354366,0.770725419,0,1,1.416511744,0.000180134,0.775764697,0.000108325,0.003628879,1.246720005,0,0.260763607,0.819902518,0.01,0.000180134,1.673332314,8.12E-05,0.004108158,2.206160404,0.164850921,0.179768171,0,0.733333333,2.370275054,6.97E-05,1.217914535,0,0.001717535,1.868922647,0.514239294,0.000155344,2.146765704,5.80E-05,0.004386677,0.84,-1,0,-1,0,-512,-1,0,-1,0,0,20.01,6.513131313,0.088822396,5,8,0.865834799,2.01,357,0.429253274,153,856,501,207,428,227,363,13.95799034,0.365740171,4.385416667,24.36915888,21.96938776,9.078431373,16.45721271,10.09803922,13.1793722,2,0.288794714,0.690896171,0,0.868917703,0.510267631,0.013678958,0.487060856,0.133508417,0.263296051,0.060927478,0.809280153,0,0.446973175,0.133992152,0.021770148,0.096490312,0.023144354,0.030829289,1.32,819.75,0.998159,4594.25,0.00670501,4582,4573,4583,0.812402,0.874173,0.868186,0.0780081,2.11,1119.82,0.0489799,4614.45,0.00705515,4613,4573,4646,0.54138,0.445096,0.886064,0.00451346,2.16,0.203927542,0.873775235,2
12,2,13240,39143,4743,22050,1.791482184,0.775192744,0.18,0.215102041,0.446362462,0.764407497,0,1,1.451214842,0.000702847,0.602543843,0.000421674,0.007379296,1.293599829,0,0.253696145,0.805941043,0.01,0.000702847,1.15040671,0.00031746,0.008072562,2.37336311,0.165767923,0.175821627,0,0.733333333,2.511128998,0.000268217,0.900133759,0,0.003446712,2.02246653,0.50521542,0.000605241,1.473984048,0.000226757,0.008480726,0.05,0.002412871,1.520061596,0.000181406,0.078367347,4.176543521,0.153841171,0.781796731,0.002070148,0.6,3.198275516,6.47,7.054570259,0.091859459,5,8,0.97703447,2.01,801.5555556,0.1906319,623,1152,1117,670,800,689,769,19.77469413,0.366744848,11.77014925,39.90017361,34.12750455,13.04325033,23.52010724,15.25,17.13011696,2,0.288562384,0.691304898,2.70E-08,0.841870123,0.518715805,0.020095392,0.485669816,0.122444464,0.260371382,0.062192844,0.844506278,0,0.443175046,0.135454238,0.0212559,0.095638123,0.023125835,0.032235873,0.28,134.048,0.351671,1165.7,0.0185727,1161,1142,1196,0.653212,0.293653,0.842917,0.0182338,2.11,273.608,0.10973,1160.64,0.0908139,1168,1134,1200,0.583839,0.336479,0.888401,0.0346462,2.25,0.233461771,0.899014156,2
13,0,75103,225116,27388,139451,1.742186359,0.614301798,1.29,0.196398735,0.375566775,0.953813594,0,1,1.426562713,0.000112852,0.529576881,7.30E-05,0.002373302,1.254067906,0,0.325505016,0.671318241,0.01,0.000112852,1.714047513,5.74E-05,0.00410897,1.726917085,0.076697828,0.052812017,0,0.84375,1.685906612,4.77E-05,1.819337468,7.17E-06,0.00183577,1.476255358,0.542513141,0.000154164,1.39079629,4.30E-05,0.003183914,1.83,-1,0,-1,0,-512,-1,0,-1,0,0,20.01,35.97881356,0.004002507,35,36,0.102621294,2.01,1240,0,1240,1240,1240,1240,1240,1240,1240,96.03870968,0,96.03870968,96.03870968,96.03870968,96.03870968,96.03870968,96.03870968,96.03870968,2,0.181208398,0.702165266,4.00E-09,1,0.435686702,0.033482461,0.221670831,0.093018031,0.141347111,0.025475088,0.877747883,0,0.285224943,0.05192141,0.002126282,0.045773151,0.009817344,0.01748654,1.48,1316.5,0.0811038,6615,0.000427578,6615,6613,6613,0.698654,0.282854,0.878183,0.00931429,2.13,3105,1.66519,6069.92,0.300633,6562,6483,6628,0.197413,0.358472,0.825356,0.300489,2.36,0.256110787,0.81898588,2.01
